antwann_jones,unc_greensboro,sc,6,86,747,189,375,3835,75,181,64,258,1,2,05,3,10,03,21,61,0333,22,23,125,sr,6-6,0,-0673247,7331,41,2026,65925,"orlando,_fl",790,050005835,24,5,11,51,04000,02000,01,02,unnamed:_44,unnamed:_45,115978,115364,0671435,109915,-836032,-674231,-161801,-899655,114857,-535942,-363713,05714,15714,21429,04286,02857,01429,34286,wing_f,580649,1999-05-29
Rashaun Agee,Texas A&M,SEC,18,59.6,125.3,23.6,54.2,59.66,12.2,27.4,13.3,10.9,71,95,0.747,74,120,0.617,7,36,0.194,4.0,2.3,60.9,Sr,6-7,12,3.02326,130.003,4.0,2026,71003,"Chicago, IL",,1.57135509,61.0,93.0,13.0,27.0,0.6559,0.4815,11.0,12.0,0.9167,,96.825,94.4389,3.39233,108.227,7.80746,3.58875,4.21871,7.43753,24.3333,5.13928,2.29825,2.6667,6.0556,8.7222,1.8333,1.0556,0.8333,13.3333,PF/C,4.3857,2000-11-02
Tyler Cochran,Rhode Island,A10,18,72.9,104.9,23.5,44.8,50.07,5.2,16.8,12.4,14.1,54,73,0.74,52,107,0.486,20,76,0.263,1.0,6.3,39.9,Sr,6-2,23,1.41174,107.406,3.4,2026,71025,"Bolingbrook, IL",,1.10346969,44.0,83.0,8.0,24.0,0.5301,0.3333,0.0,0.0,,,92.7568,92.6814,4.32707,127.75,4.44856,0.379226,4.06933,4.65798,29.1556,0.263344,4.39464,1.2222,4.0,5.2222,1.7778,3.0556,0.2222,12.1111,Combo G,8.69823,2000-10-15
Curt Lewis,Southern Miss,SB,18,68.8,111.0,11.4,52.0,53.38,2.9,9.8,6.8,13.0,10,14,0.714,8,23,0.348,30,79,0.38,1.5,2.3,13.7,Sr,6-5,1,0.264016,96.2163,2.5,2026,71299,"Louisville, KY",,1.43749995,5.0,11.0,3.0,12.0,0.4545,0.25,1.0,1.0,1.0,,109.242,111.163,2.31971,82.2351,0.754775,-0.0178551,0.77263,0.215892,26.67,-0.246578,0.46247,0.65,2.25,2.9,1.15,1.05,0.3,6.45,Wing G,9.04741,2000-10-15
Chase Johnston,High Point,BSth,16,33.5,127.9,15.9,62.5,62.98,2.8,7.5,5.6,8.7,2,2,1.0,0,1,0.0,35,83,0.422,0.5,3.5,2.4,Sr,6-3,99,1.30285,118.396,4.3,2026,71441,"Boca Raton, FL",,2.166561,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,102.946,107.71,1.44902,43.492,3.27143,4.40099,-1.12956,3.79876,15.1579,4.07204,-0.273283,0.3684,0.8421,1.2105,0.6842,0.8947,0.0526,7.2105,Scoring PG,19.1338,2000-10-15
Devan Cambridge,UCF,B12,18,47.8,124.8,15.0,57.7,62.22,8.2,18.1,8.8,16.2,30,40,0.75,26,40,0.65,10,31,0.323,4.6,1.5,56.3,Sr,6-6,35,1.82572,120.951,4.6,2026,71448,"Nashville, TN",57.2,1.33337329,26.0,38.0,0.0,2.0,0.6842,0.0,9.0,10.0,0.9,,104.203,99.8515,2.3636,70.8288,7.37749,3.2932,4.08429,5.43494,19.1333,2.61256,2.82238,1.3889,3.0556,4.4444,1.1111,0.5,0.7778,6.2222,Wing F,5.0275,2001-01-30
Gianni Hunt,East Texas A&M,Slnd,18,75.0,102.1,20.1,49.3,53.3,2.3,14.1,30.9,21.5,37,51,0.725,40,76,0.526,19,63,0.302,0.4,2.5,36.7,Sr,6-4,25,1.04504,103.489,2.5,2026,71463,"Lakewood, CA",35.8,2.29268289,34.0,57.0,6.0,19.0,0.5965,0.3158,0.0,0.0,,,109.916,110.656,2.5817,97.8651,0.233655,-0.0963011,0.329957,-0.187471,28.75,-0.457349,0.269878,0.6,3.55,4.15,4.7,1.45,0.1,8.9,Scoring PG,6.65053,2000-08-06
Morgan Safford,Kent St.,MAC,17,79.9,115.1,19.0,49.7,54.83,7.0,13.4,8.9,13.8,54,68,0.794,32,71,0.451,39,111,0.351,1.9,1.4,37.4,Sr,6-5,8,1.96877,111.208,3.5,2026,71540,"Columbus, OH",,1.10709693,27.0,51.0,5.0,20.0,0.5294,0.25,1.0,1.0,1.0,,114.783,112.83,2.50837,93.9598,1.62877,2.13846,-0.509691,0.294428,31.7167,1.84674,-1.55231,1.9444,3.8889,5.8333,1.7222,0.9444,0.5,14.2778,Wing F,10.7392,2001-02-23
Matt Van Komen,Marshall,SB,18,52.8,119.7,17.1,74.4,75.41,15.2,23.8,4.4,27.9,26,34,0.765,58,78,0.744,0,0,0.0,12.4,0.7,43.6,Sr,7-4,13,1.52641,114.256,4.0,2026,71578,"Lehi, UT",55.0,0.31249258,51.0,58.0,7.0,20.0,0.8793,0.35,29.0,30.0,0.9667,,100.956,101.626,2.47981,91.4406,3.85665,-0.944803,4.80145,3.28534,20.7947,1.6485,1.63684,2.7895,4.7368,7.5263,0.5263,0.2632,2.4211,7.8947,C,0.0,2000-10-15
Jordan Brinson,Cal St. Northridge,BW,17,39.7,99.4,10.0,38.4,44.31,1.9,12.9,13.8,18.5,11,14,0.786,9,15,0.6,5,28,0.179,0.0,0.6,32.6,Sr,6-2,23,-0.459179,85.5835,2.7,2026,71663,"Inglewood, CA",,2.90005684,5.0,10.0,4.0,5.0,0.5,0.8,0.0,0.0,,,114.75,115.412,1.16914,44.4156,-3.30801,-1.99741,-1.31059,-4.02367,16.4789,-2.99933,-1.02434,0.2632,2.1579,2.4211,1.5263,0.3684,0.0,2.8421,Wing G,5.1821,1999-12-31
Hosana Kitenge,UC Santa Barbara,BW,16,51.4,100.9,24.5,54.5,56.68,6.9,16.7,17.0,24.2,29,46,0.63,51,94,0.543,2,5,0.4,4.0,2.2,46.5,Sr,6-8,34,0.881333,105.794,7.7,2026,71791,"Crawley, United Kingdom",,0.8235481,43.0,76.0,8.0,18.0,0.5658,0.4444,0.0,0.0,,,108.509,110.451,1.78524,62.3906,-0.948946,-2.03533,1.08639,-2.40572,19.8222,-2.54504,0.139323,1.2222,2.7222,3.9444,1.5556,0.7222,0.6111,8.3333,PF/C,0.89594,2000-12-17
