rk,team,conf,rec,adjoe,oe_rank,adjde,de_rank,barthag,rank1,proj_w,proj_l,pro_con_w,pro_con_l,con_rec,sos,ncsos,consos,proj_sos,proj_noncon_sos,proj_con_sos,elite_sos,elite_noncon_sos,opp_oe,opp_de,opp_proj_oe,opp_proj_de,con_adj_oe,con_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conpf,conpa,conposs,conoe,conde,consosremain,conf_winpct,wab,wab_rk,fun_rk,adjt,team_key
11,Nebraska,B10,23-4,119.58620497709704,52,93.2683594588145,5,0.9457512963057356,11,26.02025798848344,4.979742011516568,15.020257988483433,4.979742011516568,12-4,0.6635826322383337,0.4143700647817523,0.8349162723647336,0.6797006371768403,0.4143700647817522,0.825632451994139,0.6719380884917264,0.891335745845074,116.13365909029284,106.23732079070903,116.30240810752288,105.83729023982715,121.062217358969,90.53746793823194,120.4506212858982,89.81917413472927,0.9669004630205776,12.0,0.084925124345574,1210.0,1049.0,1059.1875,1.142385082905529,0.9903817784858676,0.7884971705117609,0.75,6.529235630871665,7,25,66.92773767837132,nebraska
12,Vanderbilt,SEC,21-6,125.02637482681268,17,97.87672757006496,20,0.9435014512155602,12,23.54199391044783,7.45800608955217,10.54199391044783,7.45800608955217,8-6,0.6916440714682844,0.5328182983866263,0.8391251464726815,0.7141041337836229,0.5328182983866263,0.8450327926814539,0.6669092454931851,0.8017914538297123,116.7234846536933,106.5210186953628,117.23861308537484,105.84112858612284,122.97961964588164,98.7288085642626,128.0791133181135,97.4770894877582,0.958507071007247,14.0,-0.0094544645632019,1130.0,1071.0,975.0875000000002,1.1588703577884034,1.098362967426,0.8657095544121575,0.5714285714285714,4.534656119105196,20,203,69.58561378792406,vanderbilt
13,Tennessee,SEC,20-7,122.44934058901164,30,96.15634839698572,15,0.941574546326272,13,22.77367301769323,8.226326982306771,12.773673017693229,5.22632698230677,10-4,0.6885985917638778,0.5155942493578919,0.8492454811408647,0.710884795503592,0.5155942493578919,0.8519279677199308,0.63026143949364,0.73801431184381,118.039925991556,106.85990252381274,118.5586666181004,106.37053136655416,121.85973570944076,96.5677724153336,121.1891321013548,96.04759077853328,0.9354657738246512,15.0,0.0168482720928586,1093.0,1035.0,957.4,1.1416335909755588,1.0810528514727389,0.8613166707466621,0.7142857142857143,4.564815668701278,19,136,65.56761871235578,tennessee
14,Louisville,ACC,20-7,125.5088260681024,15,98.6674626536655,25,0.9408740727443864,14,22.500762433910552,8.499237566089448,11.50076243391055,6.499237566089448,9-5,0.6774482983303578,0.5628202686126704,0.7838886116396387,0.7010345961449288,0.5628202686126704,0.8008560549182264,0.6584650821617991,0.7467299764431776,114.88555008699966,104.91370056191832,115.49161620364428,104.38003502806208,124.60269193021485,98.6154903134195,122.72551477456857,98.4166458482949,0.9267980531730088,13.0,-0.022744819228912,1163.0,1049.0,991.6375,1.1728076035849793,1.0578462391751018,0.8602421063932837,0.6428571428571429,3.561123824927292,24,230,70.36816686171068,louisville
15,Michigan St.,B10,21-5,120.643707311333,42,94.89680916789716,8,0.940508813839818,15,23.645598488668355,7.354401511331643,13.645598488668355,6.354401511331643,11-4,0.706052496725541,0.5658133808827656,0.8088945150102433,0.7278146631185508,0.5658133808827656,0.816915368348233,0.6385815318763532,0.7799015353140883,117.50704103230072,105.75619093228082,118.60927021412168,105.0113650310718,120.65255803647014,93.6553222820378,120.59156941555412,92.2963556545308,0.955856169513436,13.0,0.046305633128614,1149.0,993.0,996.475,1.1530645525477308,0.9965127072932084,0.8409779283622016,0.7333333333333333,5.421200351779208,14,79,65.7715746357553,michigan state
16,Kansas,B12,20-7,121.54941394950508,37,95.65812392534784,12,0.940178966145312,16,22.272581325526893,8.727418674473109,12.272581325526891,5.727418674473109,10-4,0.7614099436338814,0.6882425255690532,0.829351117551222,0.7720800508045145,0.6882425255690532,0.832629374585681,0.6038024530360293,0.6698626375837269,117.35545002930344,102.82322292218764,117.84835607655478,102.37334263381516,122.50938736280922,98.00453127233372,121.63022804478312,98.599854375484,0.9178909995430324,13.0,0.0258507601104095,1091.0,1030.0,966.8625,1.1283920929811633,1.0653014260042146,0.8441032742062875,0.7142857142857143,5.378563360328018,15,118,67.03649531792068,kansas
17,Gonzaga,WCC,27-2,121.46004567027056,38,95.64353381573213,11,0.9398007882750004,17,28.47550122450722,2.52449877549278,16.47550122450722,1.5244987754927803,15-1,0.6099646770073842,0.6228491865776771,0.5994960129815213,0.6123217067729702,0.6228491865776771,0.6047185269140152,0.7670452831042787,0.731868485400406,113.5150152888954,107.63211360889524,113.51582298263278,107.42347141375107,119.02431986147984,95.7427890290643,122.81262816505269,94.30673149618409,0.9542281560599462,8.0,0.0909553118392526,1317.0,1059.0,1115.8625000000002,1.1802529433509952,0.949041660598864,0.6464986383739659,0.9375,6.478644699864836,8,19,69.39994085560183,gonzaga
18,Virginia,ACC,24-3,122.4982971672608,29,96.84390335152465,18,0.9371717613819444,18,26.671884960507697,4.328115039492307,14.671884960507692,3.3281150394923067,12-2,0.6212775740138802,0.4575654248121574,0.7732959982726226,0.6487824950860421,0.4575654248121573,0.7868837125060701,0.7256315193462398,0.8441512625399646,113.73414990536038,107.96658621489388,114.60576598331008,107.12678079861637,120.71342164465176,94.20020161972435,121.90931669117728,94.01031815384388,0.9520536433452004,9.0,0.0763768162720219,1099.0,972.0,966.725,1.1368279500374978,1.0054565672761129,0.8344407123231365,0.8571428571428571,5.759854745605588,12,35,65.48526864612668,virginia
19,St. John's,BE,22-5,120.7789812428728,41,96.3663578259659,17,0.930652694075048,19,24.58885661387053,6.411143386129475,17.588856613870526,2.411143386129475,15-1,0.6974755720995682,0.615276471672783,0.753987453642983,0.7148205043384884,0.615276471672783,0.7695697223046264,0.7060786986967317,0.7538124067298214,115.2861106556298,105.60154114336284,115.4984688548968,104.81348593422942,120.467502042021,95.1811593683885,121.63456928961956,98.04644417637604,0.9226685392261664,8.0,0.027868245889284,1314.0,1130.0,1137.275,1.1553933745136402,0.993603130289508,0.8318987969511995,0.9375,4.582081422350869,18,114,69.9672524836904,st johns
20,Alabama,SEC,20-7,129.72473906051198,3,103.64851325674366,68,0.9296095570866252,20,22.506505439047068,8.493494560952934,12.506505439047068,5.493494560952933,10-4,0.7724810376481359,0.6956773911431671,0.8437987094027496,0.7814413319988073,0.6956773911431671,0.8433819559501028,0.6000348760349637,0.6427053923077187,119.65368444127937,104.25884543642609,119.88613161564092,104.0837707320218,126.82284049846416,103.35755839579056,129.38400522811563,105.21122444814954,0.9151629615523188,16.0,0.0688603098095114,1272.0,1204.0,1057.3,1.203064409344557,1.1387496453229926,0.8419233188658395,0.7142857142857143,5.837625628887952,11,44,73.25879162068922,alabama
21,Arkansas,SEC,20-7,128.8301186509604,5,103.12994239688472,61,0.9281628770075186,21,22.296418972428956,8.703581027571047,12.296418972428954,5.703581027571048,10-4,0.7097335255513341,0.5800439882832091,0.8301595244431643,0.7319790287162203,0.5800439882832091,0.8417098912511729,0.6318762882119897,0.7020225711514747,117.90119097492196,105.68074263040332,118.66230392152858,105.19193480388488,128.98257917451832,103.03094208885383,127.00523171922748,100.70766137300276,0.9351162487864372,14.0,0.0339056277683755,1251.0,1142.0,1013.9625,1.2337734383668038,1.1262743937768904,0.8821361750792033,0.7142857142857143,4.440093386288628,21,106,70.47675216434875,arkansas
